City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Chuy,UY,-33.6971,-53.4616,50.38,79,83,5.95,broken clouds
146,La Macarena,CO,2.1837,-73.7849,73.71,97,91,3.13,overcast clouds
147,Emerald,AU,-23.5333,148.1667,60.35,43,0,7.14,clear sky
148,Bambous Virieux,MU,-20.3428,57.7575,71.22,82,35,14.43,light rain
149,Avarua,CK,-21.2078,-159.775,77.05,61,75,3.44,broken clouds
150,Semey,KZ,50.4111,80.2275,54.41,68,0,6.6,clear sky
151,Ostersund,SE,63.1792,14.6357,55.62,100,100,10.36,light rain
152,Aykhal,RU,66.0,111.5,36.91,75,93,26.33,overcast clouds
153,Fukue,JP,32.6881,128.8419,70.12,77,100,6.31,overcast clouds
154,Saskylakh,RU,71.9167,114.0833,39.24,56,77,4.59,broken clouds
155,Rognan,NO,67.0953,15.3878,58.75,71,100,0.74,overcast clouds
156,Mariveles,PH,14.4833,120.4833,79.61,81,98,3.71,overcast clouds
157,Prescott,US,34.54,-112.4685,88.27,12,1,5.01,clear sky
158,Saint-Pierre,RE,-21.3393,55.4781,73.08,85,75,24.16,light rain
159,Sukhoy Log,RU,56.9094,62.0296,54.9,65,11,6.73,few clouds
160,Havelock,US,34.8791,-76.9013,83.05,83,69,3.0,broken clouds
161,Kruisfontein,ZA,-34.0033,24.7314,56.55,22,2,8.25,clear sky
162,Norman Wells,CA,65.282,-126.8329,51.84,71,75,5.75,light rain
163,Inhambane,MZ,-23.865,35.3833,67.21,74,82,10.96,light rain
164,Ilulissat,GL,69.2167,-51.1,37.42,93,20,4.61,few clouds
165,Itaueira,BR,-7.6033,-43.0256,84.87,40,79,10.38,broken clouds
166,Maracacume,BR,-2.0428,-45.9592,73.85,96,68,3.96,broken clouds
167,Marawi,PH,7.9986,124.2928,64.65,86,99,1.9,overcast clouds
168,Kaitangata,NZ,-46.2817,169.8464,49.15,73,74,4.94,broken clouds
169,Waingapu,ID,-9.6567,120.2641,77.5,83,42,6.58,scattered clouds
170,Klaksvik,FO,62.2266,-6.589,49.12,99,100,15.57,overcast clouds
171,Katsuura,JP,35.1333,140.3,73.18,90,97,1.14,overcast clouds
172,Xichang,CN,27.8964,102.2634,64.8,96,98,2.24,overcast clouds
173,Hithadhoo,MV,-0.6,73.0833,82.74,73,11,12.35,few clouds
174,Muscat,OM,23.6139,58.5922,86.02,80,1,8.37,clear sky
175,Channel-Port Aux Basques,CA,47.5702,-59.1367,49.3,70,27,11.12,scattered clouds
176,Thompson,CA,55.7435,-97.8558,62.6,69,100,8.37,overcast clouds
177,Sambava,MG,-14.2667,50.1667,71.1,87,27,10.27,scattered clouds
178,Quelimane,MZ,-17.8786,36.8883,64.35,94,20,3.44,few clouds
179,Ocampo,MX,21.65,-101.5,78.28,21,95,8.03,overcast clouds
180,Sorland,NO,67.667,12.6934,52.21,84,99,7.27,overcast clouds
181,Vallenar,CL,-28.5708,-70.7581,60.26,64,0,2.91,clear sky
182,Alghero,IT,40.5589,8.3181,62.69,88,0,2.3,clear sky
183,Carnarvon,AU,-24.8667,113.6333,60.87,72,75,9.22,broken clouds
184,Port Elizabeth,ZA,-33.918,25.5701,62.28,28,0,9.8,clear sky
185,Yellowknife,CA,62.456,-114.3525,50.56,53,100,5.99,overcast clouds
186,Les Cayes,HT,18.2,-73.75,82.06,72,42,9.24,scattered clouds
187,Madimba,TZ,-10.4,40.3333,71.47,83,9,11.48,clear sky
188,Port Lincoln,AU,-34.7333,135.8667,60.82,52,94,23.8,overcast clouds
189,Podujevo,XK,42.9106,21.1931,59.95,93,100,1.68,overcast clouds
190,Marystown,CA,47.1666,-55.1483,48.43,85,80,12.97,broken clouds
191,Tasiilaq,GL,65.6145,-37.6368,41.16,91,98,5.23,overcast clouds
192,Vostok,RU,46.4856,135.8833,60.08,58,73,4.05,broken clouds
193,Belaya Gora,RU,68.5333,146.4167,42.78,67,100,5.03,overcast clouds
194,Bluff,NZ,-46.6,168.3333,49.8,80,61,8.32,broken clouds
195,Puerto Leguizamo,CO,-0.1934,-74.7819,74.79,96,88,1.74,overcast clouds
196,Esperance,AU,-33.8667,121.9,57.67,61,100,27.4,overcast clouds
197,Esmeraldas,BR,-19.7625,-44.3139,68.86,65,100,3.24,overcast clouds
198,Novoagansk,RU,61.9449,76.6625,38.41,66,4,5.61,clear sky
199,Castro,BR,-24.7911,-50.0119,60.35,71,96,3.49,overcast clouds
200,Boddam,GB,57.4667,-1.7833,53.11,82,93,3.2,overcast clouds
201,Torbay,CA,47.6666,-52.7314,43.75,89,75,17.27,broken clouds
202,Kearney,US,40.6995,-99.0815,86.99,45,1,14.97,clear sky
203,Aklavik,CA,68.2191,-135.0107,51.17,38,12,8.63,few clouds
204,Upernavik,GL,72.7868,-56.1549,37.78,84,66,4.56,broken clouds
205,Flinders,AU,-34.5833,150.8552,60.06,72,89,5.64,overcast clouds
206,Mattru,SL,7.6244,-11.8332,76.14,97,85,3.87,overcast clouds
207,Saint George,US,37.1041,-113.5841,102.67,11,1,4.0,clear sky
208,Harstad,NO,68.799,16.5293,56.7,71,38,10.0,scattered clouds
209,Lompoc,US,34.6391,-120.4579,76.78,72,90,8.99,overcast clouds
210,Saint-Philippe,RE,-21.3585,55.7679,72.99,86,77,13.82,light rain
211,Geraldton,AU,-28.7667,114.6,55.81,82,94,17.67,overcast clouds
212,Conde,BR,-7.2597,-34.9075,74.66,94,90,9.46,overcast clouds
213,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,82,90,12.53,overcast clouds
214,Chumikan,RU,54.7183,135.315,40.71,84,88,4.45,overcast clouds
215,Chicama,PE,-7.8447,-79.1469,64.94,78,87,4.41,overcast clouds
216,Severo-Kurilsk,RU,50.6789,156.125,43.0,93,100,10.89,overcast clouds
217,Kachiry,KZ,53.0675,76.1036,57.72,44,1,2.24,clear sky
218,Singaparna,ID,-7.3515,108.111,70.05,97,72,1.34,broken clouds
219,Bandarbeyla,SO,9.4942,50.8122,78.87,87,3,25.34,clear sky
220,Trinidad,BO,-14.8333,-64.9,76.98,88,75,0.0,broken clouds
221,Putina,PE,-15.4667,-69.4333,46.45,55,4,7.05,clear sky
222,Mana,GF,5.6592,-53.7767,76.14,89,100,6.29,overcast clouds
223,Bam,IR,29.106,58.357,91.2,8,0,4.18,clear sky
224,Lai,TD,9.3952,16.2989,83.7,51,65,6.11,broken clouds
225,Yabelo,ET,4.8833,38.0833,62.78,63,78,7.58,broken clouds
226,Santa Lucia,ES,27.9117,-15.5407,60.12,73,75,11.52,broken clouds
227,Lakes Entrance,AU,-37.8811,147.981,56.57,65,100,10.78,overcast clouds
228,Narsaq,GL,60.9167,-46.05,53.82,66,100,3.4,overcast clouds
229,Marzuq,YE,14.4,46.4667,81.57,34,42,5.39,scattered clouds
230,Kangaatsiaq,GL,68.3065,-53.4641,37.4,89,45,10.38,scattered clouds
231,Mwense,ZM,-10.3845,28.698,64.38,62,88,9.84,overcast clouds
